id,title,genres,averageRating,numVotes,releaseYear
tt0111161,"The Shawshank Redemption",Drama,9.3,3042075,1994
tt0068646,"The Godfather","Crime, Drama",9.2,2123500,1972
tt0252487,"The Chaos Class",Comedy,9.2,44462,1975
tt33175825,"Attack on Titan the Movie: The Last Attack","Action, Adventure, Animation",9.2,16273,2024
tt0259534,"Ramayana: The Legend of Prince Rama","Action, Adventure, Animation",9.1,16416,1993
tt0468569,"The Dark Knight","Action, Crime, Drama",9,3019054,2008
tt0167260,"The Lord of the Rings: The Return of the King","Adventure, Drama, Fantasy",9,2076595,2003
tt0108052,"Schindler's List","Biography, Drama, History",9,1521452,1993
tt0071562,"The Godfather Part II","Crime, Drama",9,1428382,1974
tt0050083,"12 Angry Men","Crime, Drama",9,924366,1957
tt16747572,"The Silence of Swastika","Documentary, History",9,10621,2021
tt0110912,"Pulp Fiction","Crime, Drama",8.9,2333220,1994
tt0120737,"The Lord of the Rings: The Fellowship of the Ring","Adventure, Drama, Fantasy",8.9,2106444,2001
tt5354160,"Mirror Game","Crime, Mystery, Thriller",8.9,30467,2016
tt0253828,"Tosun Pasha","Comedy, History",8.9,25531,1976
tt5275892,"O.J.: Made in America","Biography, Crime, Documentary",8.9,23116,2016
tt0075143,"The Message","Biography, Drama, History",8.9,11409,1976
tt1375666,Inception,"Action, Adventure, Sci-Fi",8.8,2681459,2010
tt0137523,"Fight Club","Crime, Drama, Thriller",8.8,2463116,1999
tt0109830,"Forrest Gump","Drama, Romance",8.8,2377646,1994
tt0167261,"The Lord of the Rings: The Two Towers","Adventure, Drama, Fantasy",8.8,1872333,2002
tt0060196,"The Good, the Bad and the Ugly","Adventure, Western",8.8,852430,1966
tt23849204,"12th Fail","Biography, Drama",8.8,147261,2023
tt0252488,"The Chaos Class Failed the Class",Comedy,8.8,26379,1975
tt0253779,"The Foster Brothers","Comedy, History",8.8,21797,1976
tt0084302,"The Marathon Family","Comedy, Drama",8.8,17637,1982
tt10534500,#Home,"Drama, Family",8.8,16647,2021
tt0086935,"Balkan Spy","Comedy, Drama",8.8,12993,1984
tt33428606,"Solo Leveling: ReAwakening","Action, Adventure, Animation",8.8,12818,2024
tt2077886,"The Phantom of the Opera at the Royal Albert Hall","Drama, Musical, Romance",8.8,10412,2011
tt0816692,Interstellar,"Adventure, Drama, Sci-Fi",8.7,2343104,2014
tt0133093,"The Matrix","Action, Sci-Fi",8.7,2154226,1999
tt0080684,"Star Wars: Episode V - The Empire Strikes Back","Action, Adventure, Fantasy",8.7,1440423,1980
tt0099685,Goodfellas,"Biography, Crime, Drama",8.7,1324876,1990
tt0073486,"One Flew Over the Cuckoo's Nest",Drama,8.7,1115897,1975
tt15097216,"Jai Bhim","Crime, Drama",8.7,225528,2021
tt10189514,"Soorarai Pottru",Drama,8.7,127702,2020
tt7466810,"777 Charlie","Adventure, Comedy, Drama",8.7,43141,2022
tt0088178,"Stop Making Sense","Documentary, Music",8.7,22665,1984
tt0252490,"The Chaos Class Is Waking Up",Comedy,8.7,21609,1976
tt8176054,"Pariyerum Perumal",Drama,8.7,19504,2018
tt0253614,"Saban, Son of Saban","Comedy, History",8.7,19363,1977
tt6019206,"Kill Bill: The Whole Bloody Affair","Action, Crime, Thriller",8.7,18731,2006
tt14888874,"Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc","Action, Animation, Fantasy",8.7,17362,2020
tt0076276,"Who's Singin' Over There?","Adventure, Comedy, Drama",8.7,17309,1980
tt7738784,Resurrection,"Drama, Family",8.7,17120,2018
tt0214915,Manichithrathazhu,"Comedy, Horror, Mystery",8.7,13528,1993
tt0765833,"Happy Days","Comedy, Drama",8.7,12425,1978
tt0090015,Shoah,"Documentary, History, War",8.7,11103,1985
tt0114369,Se7en,"Crime, Drama, Mystery",8.6,1909875,1995
tt0102926,"The Silence of the Lambs","Crime, Drama, Horror",8.6,1634170,1991
tt0120815,"Saving Private Ryan","Drama, War",8.6,1569056,1998
tt0076759,"Star Wars: Episode IV - A New Hope","Action, Adventure, Fantasy",8.6,1507385,1977
tt0120689,"The Green Mile","Crime, Drama, Fantasy",8.6,1484543,1999
tt0103064,"Terminator 2: Judgment Day","Action, Adventure, Sci-Fi",8.6,1231963,1991
tt0245429,"Spirited Away","Adventure, Animation, Family",8.6,909529,2001
tt0317248,"City of God","Crime, Drama",8.6,836952,2002
tt0118799,"Life Is Beautiful","Comedy, Drama, Romance",8.6,777761,1997
tt0038650,"It's a Wonderful Life","Drama, Family, Fantasy",8.6,527408,1946
tt0047478,"Seven Samurai","Action, Drama",8.6,383767,1954
tt0056058,Harakiri,"Drama, Mystery",8.6,79510,1962
tt9263550,"Rocketry: The Nambi Effect","Biography, Drama",8.6,60542,2022
tt0367495,"Anbe Sivam","Adventure, Comedy, Drama",8.6,26838,2003
tt0093603,Nayakan,"Crime, Drama",8.6,26189,1987
tt0271383,"A Dog's Will","Comedy, Drama, Fantasy",8.6,20271,2000
tt0358456,Earthlings,Documentary,8.6,20181,2005
tt0252489,"The Chaos Class Is on Vacation",Comedy,8.6,19507,1977
tt0116860,"Pretty Village, Pretty Flame","Drama, History, War",8.6,18431,1996
tt0252597,"Feyzo, the Polite One","Comedy, Drama",8.6,18012,1978
tt0201368,"The Broken Landlord","Comedy, Drama",8.6,17042,1985
tt17592606,Daman,"Adventure, Drama",8.6,13985,2022
tt8737152,Toma,"Biography, Drama, Music",8.6,12973,2021
tt0069090,"Pink Floyd: Live at Pompeii","Documentary, Music",8.6,10770,1972
tt0267351,"My Dear Brother",Drama,8.6,10756,1973
tt1853728,"Django Unchained",Western,8.5,1790258,2012
tt0172495,Gladiator,"Action, Adventure, Drama",8.5,1758641,2000
tt0482571,"The Prestige","Drama, Mystery, Sci-Fi",8.5,1513762,2006
tt0407887,"The Departed","Crime, Drama, Thriller",8.5,1486883,2006
tt0088763,"Back to the Future","Adventure, Comedy, Sci-Fi",8.5,1376827,1985
tt0110413,"Léon: The Professional","Action, Crime, Drama",8.5,1302088,1994
tt0120586,"American History X","Crime, Drama",8.5,1230581,1998
tt0110357,"The Lion King","Adventure, Animation, Drama",8.5,1202778,1994
tt0114814,"The Usual Suspects","Crime, Drama, Mystery",8.5,1189188,1995
tt2582802,Whiplash,"Drama, Music",8.5,1073285,2014
tt6751668,Parasite,"Drama, Thriller",8.5,1061223,2019
tt0078748,Alien,"Horror, Sci-Fi",8.5,1015382,1979
tt1675434,"The Intouchables","Comedy, Drama",8.5,977709,2011
tt0253474,"The Pianist","Biography, Drama, Music",8.5,967632,2002
tt0054215,Psycho,"Drama, Horror, Mystery",8.5,752158,1960
tt0034583,Casablanca,"Drama, Romance, War",8.5,630902,1942
tt15239678,"Dune: Part Two","Action, Adventure, Drama",8.5,629132,2024
tt10811166,"The Kashmir Files",Drama,8.5,576277,2022
tt0047396,"Rear Window","Drama, Mystery, Thriller",8.5,545838,1954
tt9362722,"Spider-Man: Across the Spider-Verse","Action, Adventure, Animation",8.5,454346,2023
tt0064116,"Once Upon a Time in the West","Drama, Western",8.5,367911,1968
tt0095327,"Grave of the Fireflies","Animation, Drama, War",8.5,348598,1988
tt0095765,"Cinema Paradiso","Drama, Romance",8.5,301095,1988
tt0027977,"Modern Times","Comedy, Drama, Romance",8.5,272762,1936
tt0021749,"City Lights","Comedy, Drama, Romance",8.5,206852,1931
tt1424432,Senna,"Biography, Documentary, Sport",8.5,80637,2010
tt20850406,"Sita Ramam","Action, Drama, Mystery",8.5,75440,2022
tt1152758,"Dear Zachary: A Letter to a Son About His Father","Biography, Crime, Documentary",8.5,43156,2008
tt0103767,Baraka,Documentary,8.5,42100,1992
tt7019842,96,"Drama, Romance",8.5,41292,2018
tt16492678,"Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc","Action, Animation, Fantasy",8.5,32160,2021
tt11580854,"Sarpatta Parambarai","Action, Drama, Sport",8.5,26747,2021
tt24082438,"20 Days in Mariupol","Documentary, War",8.5,25572,2023
tt0346336,"The Best of Youth","Drama, Romance",8.5,25319,2003
tt8948790,Jersey,"Drama, Sport",8.5,24733,2019
tt1014762,Home,"Documentary, Family",8.5,23287,2009
tt0253997,"The King of the Street Cleaners",Comedy,8.5,22191,1977
tt0054407,"The Hole","Crime, Drama, Thriller",8.5,21888,1960
tt0079221,"Gol Maal","Comedy, Romance",8.5,21389,1979
tt8413338,"Kumbalangi Nights","Comedy, Drama, Romance",8.5,19937,2019
tt0263975,"The Girl with the Red Scarf","Drama, Romance",8.5,17564,1977
tt0101649,Thalapathi,"Action, Crime, Drama",8.5,14316,1991
tt9617456,"For Sama","Biography, Documentary, War",8.5,13398,2019
tt11281220,"Intoxicated by Love","Drama, History, Romance",8.5,13162,2024
tt0253991,Zübük,Comedy,8.5,11696,1980
tt4139928,"The Legend of Maula Jatt","Action, Drama, Fantasy",8.5,11301,2022
tt0053114,"The Human Condition I: No Greater Love","Drama, History, War",8.5,10173,1959
tt1345836,"The Dark Knight Rises","Action, Crime, Drama",8.4,1912432,2012
tt0361748,"Inglourious Basterds","Adventure, Drama, War",8.4,1681339,2009
tt0209144,Memento,"Mystery, Thriller",8.4,1378157,2000
tt4154796,"Avengers: Endgame","Action, Adventure, Sci-Fi",8.4,1356151,2019
tt4154756,"Avengers: Infinity War","Action, Adventure, Sci-Fi",8.4,1286477,2018
tt0910970,WALL·E,"Adventure, Animation, Family",8.4,1260286,2008
tt0081505,"The Shining","Drama, Horror",8.4,1165904,1980
tt0082971,"Raiders of the Lost Ark","Action, Adventure",8.4,1073746,1981
tt0090605,Aliens,"Action, Adventure, Horror",8.4,808422,1986
tt0078788,"Apocalypse Now","Drama, Mystery, War",8.4,741795,1979
tt4633694,"Spider-Man: Into the Spider-Verse","Action, Adventure, Animation",8.4,730199,2018
tt2380307,Coco,"Adventure, Animation, Drama",8.4,649463,2017
tt1187043,"3 Idiots","Comedy, Drama",8.4,458246,2009
tt0086879,Amadeus,"Biography, Drama, Music",8.4,448349,1984
tt0405094,"The Lives of Others","Drama, Mystery, Thriller",8.4,427526,2006
tt5311514,"Your Name.","Animation, Drama, Fantasy",8.4,356596,2016
tt0082096,"Das Boot","Drama, War",8.4,279122,1981
tt0043014,"Sunset Boulevard","Drama, Film-Noir",8.4,248750,1950
tt0032553,"The Great Dictator","Comedy, Drama, War",8.4,248652,1940
tt0050825,"Paths of Glory","Drama, War",8.4,225869,1957
tt0051201,"Witness for the Prosecution","Crime, Drama, Mystery",8.4,149829,1957
tt8267604,Capernaum,Drama,8.4,116012,2018
tt26548265,Maharaja,"Action, Crime, Drama",8.4,68067,2024
tt0057565,"High and Low","Crime, Drama, Mystery",8.4,60120,1963
tt1313104,"The Cove","Biography, Crime, Documentary",8.4,52344,2009
tt9900782,Kaithi,"Action, Crime, Thriller",8.4,46497,2019
tt3417422,Drishyam,"Crime, Drama, Mystery",8.4,45923,2013
tt12361178,"Drishyam 2","Crime, Drama, Mystery",8.4,42988,2021
tt0770802,Samsara,"Documentary, Music",8.4,39037,2011
tt9477520,Asuran,"Action, Drama",8.4,35561,2019
tt3674140,"The Salt of the Earth","Biography, Documentary, History",8.4,24446,2014
tt0058625,"Woman in the Dunes","Drama, Thriller",8.4,24171,1964
tt0416960,"The Lizard","Comedy, Drama",8.4,23578,2004
tt0400234,"Black Friday","Action, Crime, Drama",8.4,22660,2004
tt4987556,"Thani Oruvan","Action, Crime, Drama",8.4,22642,2015
tt5959980,"Vada Chennai","Action, Crime, Drama",8.4,21262,2018
tt0052572,"The World of Apu",Drama,8.4,17630,1959
tt7465992,Mahanati,"Biography, Drama",8.4,15721,2018
tt0059550,"Operation 'Y' & Other Shurik's Adventures","Comedy, Crime, Drama",8.4,15683,1965
tt0073000,"The Pinchcliffe Grand Prix","Animation, Comedy, Family",8.4,14783,1975
tt0314067,Philanthropy,"Comedy, Drama",8.4,14277,2002
tt26758372,Meiyazhagan,"Drama, Family",8.4,14157,2024
tt4991384,Visaaranai,"Crime, Drama, Thriller",8.4,12906,2015
tt12415546,"Attack on Titan: Chronicle","Action, Adventure, Animation",8.4,12392,2020
tt0184756,"Mr. Muhsin","Comedy, Drama, Music",8.4,12313,1987
tt0383846,"When I Grow Up, I'll Be a Kangaroo",Comedy,8.4,11979,2004
tt7286456,Joker,"Crime, Drama, Thriller",8.3,1607841,2019
tt0169547,"American Beauty",Drama,8.3,1248432,1999
tt1049413,Up,"Adventure, Animation, Comedy",8.3,1181119,2009
tt0086190,"Star Wars: Episode VI - Return of the Jedi","Action, Adventure, Fantasy",8.3,1164254,1983
tt0119217,"Good Will Hunting","Drama, Romance",8.3,1136924,1997
tt0338013,"Eternal Sunshine of the Spotless Mind","Drama, Romance, Sci-Fi",8.3,1135889,2004
tt0105236,"Reservoir Dogs","Crime, Thriller",8.3,1132023,1992
tt0112573,Braveheart,"Biography, Drama, War",8.3,1128999,1995
